"REGISTRO","TIPO_ENCUESTA","PC1","COD_HABITAT","PC3","COD_EDAD","PC4","PC6","PC7","PC7A","PC8","P1001_1","P1001_2","P1002_COD","P1002_1_COD","P1002_2_COD","P1003_COD","P1003_1_COD","P1003_2_COD","P1004_COD","P1004_1_COD","P1004_2_COD","P1005_1","P1005_2","P1005_3","P1006","P1007","P1008","P1009","P1010","P1011","P1012","P1013","P1013_1","P1014","P1015","P1016","P11017","P1101_A","P1102_A","P1103","P1104","P1105_COD_B_1","P1105_COD_B_2","P1105_COD_B_3","P1106","P1107","P1108_COD_B_1","P1108_COD_B_2","P1108_COD_B_3","P1109_1","P1109_2","P1109_3","P1109_4","P1109_5","P1109_6","P1109_7","P1109_8","P1017","P1018","P2102","P2003","P2004_1","P2004_2","P2004_3","P2004_4","P2004_5","P2002_CONOC_1","P2002_VALOR_1","P2002_CONOC_2","P2002_VALOR_2","P2002_CONOC_3","P2002_VALOR_3","P2002_CONOC_4","P2002_VALOR_4","P2002_CONOC_5","P2002_VALOR_5","P2103_1","P2103_2","P2103_3","P2103_4","P2103_5","P2002B_CONOC_1","P2002B_VALOR_1","P2002B_CONOC_2","P2002B_VALOR_2","P2002B_CONOC_3","P2002B_VALOR_3","P2002B_CONOC_4","P2002B_VALOR_4","P2002B_CONOC_5","P2002B_VALOR_5","P2002B_CONOC_6","P2002B_VALOR_6","P2002B_CONOC_7","P2002B_VALOR_7","P2002B_CONOC_8","P2002B_VALOR_8","P2002B_CONOC_9","P2002B_VALOR_9","P2002B_CONOC_10","P2002B_VALOR_10","P2005R","P2007R","P2008","P2008R","P2105","P2105R","P2105B","P2106","P2106A","P2009","P2010","P2012","P2013","P2014","P2015"
10108,"ONLINE","Jaén","De 100.001 o más","Hombre","35-44",38,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",6,5,"Falta de trabajo: paro","Insatisfacción con la política","Otros","Falta de trabajo: paro","Insatisfacción con la política","Otros","Falta de trabajo: paro","Sanidad","No sabe","PSOE","PSOE","Ninguno","Mala","Peor","Empeorará","Mala","Peor","Empeorará","Mala","Peor","Mejorará","Mala","Peor","Empeorará","Peor","Que se genere  más empleo","Mejora o impulso de la formación profesional","Sí","Mal","Recortes/Falta/mejorar inversión en general en sanidad","Reducir listas/tiempos de espera de atención"," ","Sí","Mal","Mejorar la inversión en educación en general","Falta de profesorado"," ","Ni de acuerdo ni en desacuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Mala","Mala","Progresista",4,8,4,2,8,10,"Sí",3,"Sí",2,"Sí",4,"Sí",5,"No"," ",8,4,7,2,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",6,"No"," ","No"," ","Sí",6,"Partidos Socialista Obrero Español (PSOE)","No sabe","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","Durante la campaña electoral","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Nos llega para vivir","No procede, ya lo perdí (NO LEER)","Atea (NO LEER)","Formación profesional I (primer grado)","Parado/a y ha trabajado antes"," "
10202,"ONLINE","Sevilla","De 100.001 o más","Mujer","18-24",22,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",8,6,"Desigualdad social y pobreza","Insatisfacción con la política","Discriminación de la mujer","Desigualdad social y pobreza","Inestabilidad política","Discriminación de la mujer","Funcionamiento de la economía","No sabe","No sabe","PODEMOS","PODEMOS","PODEMOS","Muy mala","Peor","Empeorará","Muy mala","No sabe","Empeorará","Ni buena ni mala","Igual","Se quedará igual","Muy mala","Peor","Empeorará","Peor","Que se genere  más empleo","Crear un complemento salarial para garantizar una renta mínima más alta","Sí","Bien","No sabe"," "," ","No","Muy mal","No sabe"," "," ","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","No sabe","No sabe","Feminista",1,5,8,6,6,"No contesta","No"," ","No"," ","Sí",6,"Sí",6,"Sí",6,"No contesta","No contesta",6,6,6,"No"," ","Sí",6,"Sí",6,"Sí",6,"Sí",6,"Sí",6,"Sí",6,"Sí",6,"Sí",6,"Sí",7,"Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","Durante la campaña electoral","Vota siempre al  mismo partido"," ","Tenemos dificultades","Poco probable","Nada religiosa","Master","Trabaja","Asalariado del sector privado"
10323,"ONLINE","Granada","Menos de 10.000","Hombre","45-54",49,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",5,5,"Inestabilidad política","Falta de trabajo: paro","Problema de Cataluña","Falta de trabajo: paro","Insatisfacción con los políticos","Desigualdad social y pobreza","Funcionamiento de la economía","Acceso a la vivienda","Falta de trabajo: paro","PSOE","PSOE","PSOE","Muy mala","Peor","Empeorará","Muy mala","Peor","Empeorará","Mala","Peor","Empeorará","Ni buena ni mala","Peor","Empeorará","Peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Muy mal","Antes estaba mejor"," "," ","Sí","Mal","Mejorar la inversión en educación en general"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Muy mala","Muy mala","Socialista",5,8,4,1,5,10,"Sí",1,"Sí",3,"Sí",1,"Sí",2,"Sí",1,8,4,7,1,10,"Sí",5,"No"," ","Sí",5,"No"," ","No"," ","No"," ","No"," ","No"," ","Sí",4,"Sí",5,"Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Tenemos muchas dificultades","Poco probable","Algo religiosa","Formación profesional I (primer grado)","Trabaja","Empresario o profesional con asalariados"
11270,"ONLINE","Granada","Menos de 10.000","Mujer","18-24",24,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",8,8,"Insatisfacción con la política","Falta de trabajo: paro","Políticas de empleo","Corrupción política","Falta de trabajo: paro","Funcionamiento de la economía","Paro juvenil","Acceso a la vivienda","Cambio climático","Ninguno","Ninguno","Ninguno","Muy mala","No sabe","Mejorará","No contesta","Peor","Empeorará","Mala","Mejor","Mejorará","Muy mala","Igual","Se quedará igual","Peor","Mejorar la calidad de la educación pública","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Mal","Recortes/Falta/mejorar inversión en general en sanidad","Falta de profesionales médicos","Reducir listas/tiempos de espera de atención","Sí","Muy mal","Mejorar instalaciones","Disminuir número de alumnos por aula, disminuir ratio","Falta de profesorado","Muy en desacuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Mala","Mala","Feminista",5,10,6,3,8,"No contesta","Sí",6,"Sí",6,"No"," ","No"," ","No"," ",9,5,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",1,"No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","Durante la campaña electoral","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Nos llega para vivir","Probable (NO LEER)","Nada religiosa","Master","Trabaja","Asalariado del sector privado"
11396,"ONLINE","Cádiz","De 20.001 a 50.000","Mujer","25-34",34,"Sí","Sí, tengo la nacionalidad española"," ","No",6,5,"Falta de trabajo: paro","Inestabilidad política","Jubilación","Falta de trabajo: paro","Corrupción política","La oposición de VOX","Precariedad laboral / contrato","Pensiones bajas","Inflación / pérdida de poder adquisitivo / vida cara / precio de los carburantes","CIUDADANOS","PSOE","PODEMOS","Mala","Igual","Empeorará","Muy mala","Igual","Se quedará igual","Ni buena ni mala","Igual","Mejorará","Muy buena","Igual","Se quedará igual","Peor","Que se genere  más empleo","Luchar contra el fraude laboral","Sí","Ni bien ni mal(no leer)","Reducir listas/tiempos de espera de atención","Recortes/Falta/mejorar inversión en general en sanidad","Gratuidad/universalidad de la sanidad","Sí","Mal","No gratuidad de la educación de 0-3 años","No correspondencia de los horarios laborales con los escolares"," ","Ni de acuerdo ni en desacuerdo","En desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Regular (no leer)","Buena","Socialdemócrata",4,10,4,2,8,"No sabe","Sí",6,"Sí",2,"Sí",8,"Sí",7,"Sí",1,8,4,7,2,10,"Sí",7,"Sí",8,"No"," ","No"," ","No"," ","No"," ","Sí",6,"Sí",3,"Sí",1,"No"," ","Ninguno (NO LEER)","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","El día antes de las elecciones","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Tenemos dificultades","Muy probable","Religiosa","Formación profesional II (segundo grado)","Trabaja","Asalariado del sector privado"
11772,"ONLINE","Málaga","De 100.001 o más","Hombre","18-24",22,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",5,6,"Falta de trabajo: paro","Crisis","Becas insuficientes","Falta de trabajo: paro","Crisis","Becas insuficientes","Becas insuficientes","Falta de trabajo: paro","Crisis","CIUDADANOS","PP","CIUDADANOS","Mala","No sabe","Se quedará igual","Ni buena ni mala","Mejor","Mejorará","Ni buena ni mala","Igual","Mejorará","Buena","Igual","Mejorará","Mejor","Que se genere  más empleo","Desarrollar medidas que garanticen una conciliación real","Sí","Mal","Falta de profesionales médicos","Reducir listas/tiempos de espera de atención"," ","No","Mal","Falta profesionalidad/atención por parte de profesores"," "," ","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Buena","Buena","Socialista",6,7,5,1,5,"No sabe","Sí",10,"Sí",3,"Sí",9,"Sí",2,"Sí",3,8,4,7,4,"No sabe","Sí",10,"Sí",7,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ciudadanos","Ciudadanos","<b>Estoy seguro/a que voté</b>","Ciudadanos","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Porque me he identificado más con el mensaje","No contesta","Poco probable","Atea (NO LEER)","Bachillerato","Estudiante"," "
37,"FIJO","Sevilla","De 100.001 o más","Mujer","55-64",57,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,9,"Falta de trabajo: paro","Otros","Falta de cohesión social/ división de los españoles por el tema políticos","Falta de trabajo: paro","Otros","Insatisfacción con la política","Falta de trabajo: paro","Precariedad laboral / contrato","Otros","Ninguno","Ninguno","Ninguno","Buena","Peor","Mejorará","Mala","Igual","Se quedará igual","Muy buena","Igual","Se quedará igual","Mala","Peor","Empeorará","Peor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Mal","Recortes/Falta/mejorar inversión en general en sanidad"," "," ","No","Mal","Nivel académico mejorable, alumnos no salen preparados"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Regular (no leer)","Mala","Progresista",4,9,6,3,9,10,"Sí",4,"Sí",4,"Sí",5,"Sí",4,"Sí",1,9,6,8,2,10,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",1,"No"," ","Ninguno (NO LEER)","No sabe","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Para garantizar o facilitar la conformación de mayorías","Vivimos confortablemente con los ingresos actuales","Poco probable","Nada religiosa","Formación profesional II (segundo grado)","Trabaja","Asalariado del sector privado"
123,"FIJO","Sevilla","De 100.001 o más","Mujer","45-54",49,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",5,5,"Falta de trabajo: paro","Insatisfacción con los políticos","Desahucios","Falta de trabajo: paro","Desigualdad social y pobreza","Falta de hospitales, ambulatorios / masificación","Falta de trabajo: paro","Sanidad","Otros","Ninguno","PSOE","PSOE","Mala","Peor","Mejorará","Mala","Peor","Mejorará","Buena","Mejor","Mejorará","Mala","Peor","Empeorará","Mejor","Que se genere  más empleo","Crear un complemento salarial para garantizar una renta mínima más alta","No","Mal","Faltan/mejorar medios/recursos","Faltan centros de salud"," ","No","Mal","Falta de profesorado","Falta de medios técnicos y tecnológicos."," ","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Mala","Mala","Socialista",5,7,4,3,7,10,"Sí",6,"Sí",6,"Sí",5,"No"," ","No"," ",6,4,6,"No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Nos llega para vivir","Poco probable","Religiosa","Formación profesional II (segundo grado)","Parado/a y ha trabajado antes"," "
590,"MOVIL2","Cádiz","De 20.001 a 50.000","Hombre","45-54",53,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",7,10,"Falta de trabajo: paro","Cambio climático","Inestabilidad política","Falta de industria","Largas listas de espera","Falta de hospitales, ambulatorios / masificación","Falta de trabajo: paro","Cambio climático","Falta de industria","Ninguno","Ninguno","Ninguno","Muy mala","Igual","Empeorará","Muy mala","Igual","Empeorará","Buena","Igual","Empeorará","Mala","Peor","Empeorará","Peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Mal","Reducir listas/tiempos de espera de atención"," "," ","No","Bien","Otros"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Regular (no leer)","Regular (no leer)","Progresista",5,7,5,3,8,10,"Sí",4,"Sí",3,"Sí",4,"Sí",5,"No"," ",5,5,7,2,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","En blanco","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Para garantizar o facilitar la conformación de mayorías","Tenemos dificultades","Bastante probable","Poca religiosa","Formación profesional II (segundo grado)","Trabaja","Asalariado del sector privado"
632,"MOVIL2","Huelva","De 100.001 o más","Mujer","55-64",59,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",10,9,"Falta de trabajo: paro","Insatisfacción con los políticos","Otros","Otros","Otros","Falta de trabajo: paro","Incivismo y violencia","Otros","Drogas y alcoholismo/tabaquismo","Todos","Todos","Todos","Mala","Igual","Mejorará","Mala","Igual","Mejorará","Buena","Igual","Se quedará igual","Ni buena ni mala","Igual","Mejorará","Peor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Bien","Buenos profesionales"," "," ","No","Bien","Buenos profesionales"," "," ","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Regular (no leer)","Regular (no leer)","Ecologista",5,8,7,5,7,10,"Sí",5,"Sí",7,"Sí",6,"Sí",6,"Sí",6,8,7,"No sabe",6,6,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí","No sabe","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Porque me gustaba más el candidato","Vivimos confortablemente con los ingresos actuales","Poco probable","Algo religiosa","Licenciatura o Grado","Trabaja","Asalariado del sector público"
805,"MOVIL2","Jaén","De 20.001 a 50.000","Mujer","55-64",58,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,7,"Otros","Insatisfacción con los políticos","Problema de Cataluña","Falta de trabajo: paro","Corrupción política","Precariedad laboral / contrato","Precariedad laboral / contrato","Migración de andaluces","Otros","PSOE","PSOE","PSOE","Muy buena","Mejor","Mejorará","Buena","Mejor","Mejorará","Buena","Mejor","Mejorará","Ni buena ni mala","Peor","Mejorará","Mejor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Mal","Reducir listas/tiempos de espera de atención"," "," ","Sí","Mal","Mejorar/estabilizar sistema educativo/leyes/planes educativos"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy mala","Mala","Demócrata- cristiano/na.",3,8,4,2,"No sabe",10,"Sí",5,"Sí",6,"No"," ","Sí",8,"No"," ",8,4,"No contesta",2,"No contesta","No"," ","No"," ","Sí","No sabe","No"," ","No"," ","No"," ","No"," ","No"," ","Sí","No sabe","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha dudado entre varias opciones pero al final he votado al mismo","Porque me he identificado más con el mensaje","Vivimos confortablemente con los ingresos actuales","Poco probable","Religiosa","Diplomatura","Trabaja","Asalariado del sector público"
844,"MOVIL2","Sevilla","De 100.001 o más","Mujer","55-64",63,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",9,9,"Inestabilidad política","Falta de trabajo: paro","Sanidad","Insatisfacción con los políticos","Falta de trabajo: paro","Sanidad","Sanidad","Inflación / pérdida de poder adquisitivo / vida cara / precio de los carburantes","Cambio climático","Ninguno","Ninguno","Ninguno","Buena","Igual","No sabe","Mala","Igual","Se quedará igual","Muy buena","Igual","Se quedará igual","Mala","Igual","Empeorará","Peor","Mejorar la calidad de la educación pública","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Bien","Buenos profesionales","Buen equipamiento/medios"," ","Sí","Bien","Buenos profesionales","Buenos centros/instalaciones"," ","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","No sabe","No sabe","Feminista",2,9,5,3,7,10,"Sí","No sabe","Sí",5,"Sí","No sabe","Sí",10,"No"," ",8,5,6,1,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Adelante Andalucía","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Para garantizar o facilitar la conformación de mayorías","Vivimos confortablemente con los ingresos actuales","Nada probable","Poca religiosa","Licenciatura o Grado","Trabaja","Asalariado del sector público"
1070,"MOVIL2","Córdoba","De 100.001 o más","Hombre","45-54",49,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,8,"Insatisfacción con los políticos","Problema de Cataluña","Paro y precariedad laboral","Corrupción política","Otros","Cambio climático","Corrupción política","Insatisfacción con la política","Insatisfacción con la política","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Buena","Mejor","Mejorará","Mejor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","No sabe","No sabe"," "," ","De acuerdo","En desacuerdo","En desacuerdo","No contesta","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Buena","Buena","Anarquista",6,5,3,1,4,6,"Sí",5,"Sí",3,"Sí",4,"Sí",2,"Sí",6,5,3,4,2,6,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",5,"No"," ","Otros partidos","Vox","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","El mismo día de las elecciones","Ha cambiado mi voto","Voto en función del tipo de elección","Vivimos confortablemente con los ingresos actuales","Bastante probable","Religiosa","Licenciatura o Grado","Trabaja","Asalariado del sector privado"
1231,"MOVIL2","Córdoba","Menos de 10.000","Mujer","65-74",67,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",7,10,"Insatisfacción con la política","Falta de trabajo: paro","Problema de Cataluña","La oposición de VOX","Falta de trabajo: paro","Inmigración","Ningún problema","Ningún problema","Ningún problema","PSOE","PSOE","PSOE","Mala","Igual","Se quedará igual","Mala","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Ni buena ni mala","Igual","Empeorará","Ni mejor ni peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Ni bien ni mal(no leer)","Falta de profesorado"," "," ","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Regular (no leer)","Mala","Socialdemócrata",4,8,4,2,8,10,"Sí",5,"Sí",3,"Sí",6,"Sí",5,"Sí",1,8,4,8,2,10,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Por descontento hacia el partido que había votado anteriormente","Vivimos confortablemente con los ingresos actuales","Muy probable","Nada religiosa","Formación profesional I (primer grado)","Jubilado o pensionista (anteriormente ha trabajado)"," "
1234,"MOVIL2","Cádiz","De 20.001 a 50.000","Hombre","65-74",70,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",5,5,"Paro juvenil","Paro en mujeres y otros sectores","No sabe","Falta de trabajo: paro","No sabe","No sabe","Vivienda cara","Acceso difícil para los jóvenes","No sabe","Ninguno","Ninguno","No sabe","Mala","Igual","Se quedará igual","Muy mala","Peor","Se quedará igual","Buena","Igual","Empeorará","Muy mala","Peor","Se quedará igual","Peor","Que se genere  más empleo","Luchar contra el fraude laboral","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia","Reducir listas/tiempos de espera de atención"," ","Sí","Ni bien ni mal(no leer)","Mejorar/ aumentar comedores"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No sabe","En desacuerdo","En desacuerdo","Muy mala","Muy mala","Comunista",3,9,6,2,8,10,"Sí",2,"Sí",2,"Sí",3,"Sí",1,"Sí",1,9,8,9,2,10,"Sí",1,"No"," ","No"," ","No"," ","No"," ","No"," ","Sí",3,"Sí",4,"No"," ","Sí",4,"Partidos Socialista Obrero Español (PSOE)","No sabe","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Para garantizar o facilitar la conformación de mayorías","Vivimos confortablemente con los ingresos actuales","Poco probable","Nada religiosa","Licenciatura o Grado","Jubilado o pensionista (anteriormente ha trabajado)"," "
1534,"MOVIL2","Huelva","De 10.001 a 20.000","Mujer","55-64",59,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",6,6,"Corrupción política","Precariedad laboral / contrato","Otros","Falta de trabajo: paro","Precariedad laboral / contrato","No contesta","No contesta","No contesta","No contesta","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Igual","Se quedará igual","Mala","Igual","Se quedará igual","Ni buena ni mala","Igual","Empeorará","No sabe","No sabe","Se quedará igual","No sabe","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","No sabe","No sabe"," "," ","Sí","Bien","Bien en general, buena experiencia"," "," ","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No sabe","No sabe","Socialista",3,8,3,1,5,10,"Sí","No sabe","Sí",3,"No"," ","No"," ","No"," ","No sabe","No sabe","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","No sabe","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","No sabe","Nos llega para vivir","Probable (NO LEER)","Nada religiosa","Bachillerato","Trabajo doméstico no remunerado (tareas del hogar)"," "
1759,"MOVIL2","Córdoba","De 10.001 a 20.000","Hombre","55-64",59,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,8,"Inestabilidad política","Inmigración","Violencia de género","Inmigración","Violencia de género","No sabe","No sabe","No sabe","No sabe","PSOE","PSOE","No contesta","Buena","Mejor","No sabe","Buena","Mejor","Mejorará","Buena","Mejor","No sabe","Mala","Igual","Mejorará","Ni mejor ni peor","No sabe","Luchar contra el fraude laboral","Sí","Mal","Falta/mejorar acceso a especialistas"," "," ","Sí","Bien","Falta de profesorado"," "," ","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","De acuerdo","Mala","Mala","Socialdemócrata",5,8,5,3,8,10,"Sí",4,"Sí",2,"Sí",4,"Sí",3,"Sí",1,8,5,8,3,10,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","<b>Estoy seguro/a que voté</b>","Adelante Andalucía","<b>Estoy seguro/a que voté</b>","PSOE","Antes de iniciar la campaña","Ha cambiado mi voto","Porque me he identificado más con el mensaje","Nos llega para vivir","Poco probable","Poca religiosa","Bachillerato","Jubilado o pensionista (anteriormente ha trabajado)"," "
